YEAR,MONTH_NAME,BEGIN_HOUR,STATE,WFO,TOR_LENGTH,TOR_WIDTH,DURATION_MINUTES,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,HIGH_PROPERTY_DAMAGE
2007,May,17,KANSAS,DDC,1.29,50.0,2,3.0,NNW,37.86,-99.41,37.85,-99.39,0
2007,August,14,SOUTH DAKOTA,ABR,0.2,10.0,4,1.0,NW,45.78,-99.64,45.78,-99.64,0
2007,May,19,KANSAS,DDC,0.54,30.0,1,4.0,NE,38.59,-99.38,38.59,-99.37,0
2007,May,13,KANSAS,DDC,0.2,30.0,1,1.0,W,37.38,-100.2091,37.38,-100.2127,0
2007,May,15,KANSAS,DDC,1.34,50.0,4,7.0,WSW,37.1207,-98.6673,37.1396,-98.6621,0
2007,May,15,KANSAS,DDC,1.43,50.0,3,5.0,SW,37.2842,-98.6806,37.3048,-98.6802,0
2007,July,17,FLORIDA,MFL,1.38,20.0,5,3.0,N,26.71,-80.25,26.73,-80.25,0
2007,July,17,MARYLAND,LWX,4.0,150.0,12,1.0,SE,39.5098,-76.4068,39.4689,-76.3538,0
2007,July,9,MISSISSIPPI,JAN,0.8,30.0,1,1.0,SE,32.4198,-89.1079,32.4189,-89.0884,0
2007,April,16,COLORADO,PUB,2.68,75.0,7,5.0,SE,37.0489,-102.5159,37.064,-102.4712,0
2007,April,8,SOUTH CAROLINA,CHS,2.0,80.0,4,3.0,SSW,32.9599,-80.8198,32.9855,-80.8,1
2007,May,18,TEXAS,EWX,0.2,20.0,2,1.0,N,30.3145,-99.25,30.3173,-99.25,0
2007,March,16,KANSAS,GLD,0.5,10.0,1,2.0,SSE,38.8533,-101.7158,38.8533,-101.7158,0
2007,April,13,NEBRASKA,OAX,0.5,100.0,1,3.0,SW,42.3393,-97.6215,42.3393,-97.6215,0
2007,October,0,ALABAMA,BMX,3.25,100.0,5,5.0,ESE,32.2493,-86.5412,32.2886,-86.5108,0
2007,October,19,INDIANA,LOT,0.4,20.0,1,1.0,N,40.4945,-87.52,40.4945,-87.52,0
2007,May,20,INDIANA,IND,0.1,50.0,1,7.0,SW,38.9284,-85.722,38.9284,-85.722,1
2007,April,19,SOUTH DAKOTA,FSD,0.2,50.0,2,8.0,ESE,44.2257,-97.6208,44.2246,-97.6171,0
2007,October,19,KENTUCKY,PAH,1.0,50.0,1,3.0,SW,36.6544,-87.9319,36.6647,-87.9191,0
2007,October,21,ALABAMA,BMX,9.31,50.0,17,3.0,S,32.5232,-87.5708,32.6557,-87.5415,0
2007,October,23,ALABAMA,BMX,7.71,200.0,5,3.0,SW,32.8386,-87.2675,32.9466,-87.234,0
2007,April,18,SOUTH DAKOTA,FSD,2.77,100.0,9,4.0,SE,43.6791,-98.4234,43.6868,-98.3691,0
2007,July,17,FLORIDA,MLB,0.1,30.0,0,4.0,W,27.27,-80.3909,27.27,-80.3909,0
2007,July,18,FLORIDA,MLB,1.03,30.0,10,1.0,NNE,28.6285,-81.6952,28.6324,-81.6788,0
2007,April,12,KANSAS,GLD,0.5,10.0,1,3.0,NW,38.9007,-102.0094,38.9007,-102.0094,0
2007,May,16,SOUTH DAKOTA,FSD,3.5,50.0,5,7.0,SSE,43.6265,-97.9665,43.6791,-97.9634,0
2007,May,16,SOUTH DAKOTA,FSD,1.0,100.0,3,5.0,W,42.87,-97.4786,42.87,-97.4885,1
2007,May,16,SOUTH DAKOTA,FSD,0.1,50.0,1,6.0,W,42.87,-97.4984,42.87,-97.4984,0
2007,May,17,SOUTH DAKOTA,FSD,4.0,200.0,8,4.0,SE,43.6791,-98.4234,43.7404,-98.4517,1
2007,May,18,SOUTH DAKOTA,FSD,4.0,400.0,6,0.0,N,43.73,-97.6,43.7834,-97.6306,0
2007,May,18,SOUTH DAKOTA,FSD,6.5,400.0,8,3.0,NE,43.7507,-97.6376,43.85,-97.65,0
2007,May,16,SOUTH DAKOTA,FSD,0.1,50.0,1,3.0,E,43.72,-97.96,43.72,-97.96,0
2007,May,18,SOUTH DAKOTA,FSD,0.2,100.0,1,9.0,S,44.0399,-97.72,44.0428,-97.72,0
2007,May,18,SOUTH DAKOTA,FSD,0.1,50.0,1,5.0,E,44.17,-97.6192,44.17,-97.6192,0
2007,May,15,SOUTH DAKOTA,FSD,0.1,50.0,1,3.0,WSW,44.1534,-97.7759,44.1534,-97.7759,0
2007,May,15,SOUTH DAKOTA,FSD,3.5,100.0,5,2.0,SSE,42.9533,-97.8349,43.0201,-97.8273,0
2007,May,16,SOUTH DAKOTA,FSD,0.5,100.0,1,6.0,NW,43.7113,-97.8648,43.7164,-97.8719,0
2007,August,15,MICHIGAN,GRR,6.0,300.0,5,3.0,S,42.6866,-84.53,42.73,-84.4906,1
2007,August,15,MICHIGAN,GRR,6.5,300.0,5,1.0,NNW,42.59,-84.83,42.63,-84.76,1
2007,May,19,SOUTH DAKOTA,FSD,0.1,50.0,1,6.0,N,44.2567,-97.72,44.2582,-97.72,0
2007,May,15,SOUTH DAKOTA,FSD,1.0,100.0,1,5.0,NW,44.0711,-97.6011,44.0813,-97.6153,0
2007,August,13,MISSOURI,SGF,1.0,75.0,1,0.0,SE,37.97,-91.72,37.97,-91.72,0
2007,May,19,SOUTH DAKOTA,FSD,0.1,50.0,1,3.0,NW,44.4307,-98.5129,44.4317,-98.5144,0
2007,April,17,MISSOURI,EAX,1.14,25.0,2,1.0,S,38.0855,-94.58,38.0733,-94.5659,0
2007,May,17,SOUTH DAKOTA,FSD,0.5,100.0,2,1.0,N,44.0345,-97.92,44.0417,-97.92,0
2007,May,17,SOUTH DAKOTA,FSD,0.5,100.0,2,5.0,N,43.1023,-97.6,43.1095,-97.6,1
2007,May,17,SOUTH DAKOTA,FSD,0.1,50.0,1,5.0,S,43.1577,-99.43,43.1592,-99.43,0
2007,May,18,SOUTH DAKOTA,FSD,0.1,50.0,1,3.0,W,44.02,-97.6603,44.02,-97.6603,0
2007,August,13,COLORADO,BOU,0.1,50.0,5,5.0,NW,39.8011,-105.5865,39.8011,-105.5865,0
2007,May,17,SOUTH DAKOTA,FSD,0.1,50.0,0,7.0,SW,43.1584,-99.5282,43.1584,-99.5282,0
2007,October,19,TENNESSEE,OHX,0.67,500.0,1,4.0,W,36.65,-88.0401,36.65,-88.0282,0
2007,May,15,SOUTH DAKOTA,FSD,4.0,100.0,7,7.0,NNW,43.0735,-97.903,43.1269,-97.9333,1
2007,May,16,SOUTH DAKOTA,FSD,0.2,50.0,1,1.0,N,43.2345,-97.97,43.2373,-97.97,0
2007,May,16,SOUTH DAKOTA,FSD,0.1,50.0,1,0.0,N,43.47,-97.98,43.4714,-97.98,0
2007,October,11,MISSISSIPPI,JAN,0.32,50.0,2,2.0,WSW,33.4106,-88.8051,33.4141,-88.8016,0
2007,May,12,NEW MEXICO,EPZ,3.0,150.0,30,13.0,WNW,32.27,-106.39,32.31,-106.37,0
2007,May,16,SOUTH DAKOTA,FSD,5.0,100.0,8,6.0,E,43.4,-97.8606,43.47,-97.8804,0
2007,May,16,SOUTH DAKOTA,FSD,1.8,100.0,4,1.0,SE,43.7118,-97.9387,43.7334,-97.9577,0
2007,August,18,NORTH DAKOTA,FGF,2.0,100.0,4,3.0,W,48.53,-97.6955,48.53,-97.6628,0
2007,May,12,NEW MEXICO,EPZ,0.58,20.0,5,16.0,WSW,32.59,-106.25,32.59,-106.24,0
2007,September,6,TEXAS,FWD,0.8,40.0,4,6.0,SSW,31.8345,-96.4717,31.8452,-96.4665,0
2007,October,16,LOUISIANA,LIX,0.2,25.0,2,5.0,N,30.9223,-90.15,30.9223,-90.15,0
2007,May,17,SOUTH DAKOTA,FSD,0.1,50.0,1,10.0,W,43.38,-99.0489,43.38,-99.0489,0
2007,May,17,SOUTH DAKOTA,FSD,0.5,100.0,2,10.0,N,43.8946,-98.95,43.9018,-98.95,0
2007,September,16,ALABAMA,BMX,0.36,20.0,1,3.0,W,31.6615,-85.5735,31.665,-85.578,0
2007,April,18,KENTUCKY,JKL,3.62,200.0,5,1.0,WNW,38.286,-83.6985,38.3155,-83.6418,1
2007,July,16,NEBRASKA,LBF,0.1,20.0,0,5.0,NW,41.2211,-101.1979,41.2211,-101.1979,0
2007,August,19,NEBRASKA,LBF,0.1,10.0,0,6.0,N,41.9667,-98.55,41.9667,-98.55,0
2007,September,18,KANSAS,GLD,0.25,10.0,1,17.0,SSW,38.9029,-100.7511,38.9029,-100.7511,0
2007,July,8,TEXAS,HGX,0.1,10.0,1,12.0,NW,30.7527,-95.1427,30.7527,-95.1427,0
2007,July,17,TEXAS,HGX,2.0,30.0,8,3.0,SSW,29.2599,-94.939,29.2599,-94.901,0
2007,June,15,WISCONSIN,GRB,12.7,700.0,16,4.0,W,45.017,-88.981,45.117,-88.766,1
2007,June,15,WISCONSIN,GRB,7.4,1000.0,10,4.0,S,45.117,-88.766,45.176,-88.639,1
2007,June,15,WISCONSIN,GRB,0.9,300.0,1,2.0,ENE,45.009,-88.997,45.017,-88.981,0
2007,July,18,NEBRASKA,LBF,0.1,20.0,0,7.0,S,41.0688,-101.13,41.0688,-101.13,0
2007,January,17,GEORGIA,JAX,2.0,100.0,5,1.0,S,31.32,-82.47,31.34,-82.47,0
2007,May,17,PENNSYLVANIA,PBZ,4.0,100.0,6,1.0,N,41.2445,-80.23,41.1993,-80.1892,0
2007,October,15,IOWA,DMX,0.44,20.0,1,1.0,SSW,41.5832,-93.6328,41.5835,-93.6243,0
2007,October,16,IOWA,DMX,0.95,20.0,2,0.0,WSW,40.6785,-93.1262,40.684,-93.1096,1
2007,October,16,IOWA,DMX,3.2,25.0,4,5.0,WNW,41.23,-92.83,41.22,-92.77,0
2007,June,17,IDAHO,MSO,0.25,50.0,11,15.0,E,46.48,-115.9351,46.48,-115.9351,0
2007,May,16,KANSAS,GID,7.5,75.0,26,3.0,S,39.3866,-98.7,39.4811,-98.6338,1
2007,April,19,TEXAS,HGX,0.25,30.0,0,0.0,N,30.72,-94.7,30.72,-94.7,0
2007,September,14,WISCONSIN,MKX,0.25,20.0,1,2.0,SSE,42.7729,-88.0048,42.7712,-88.0005,0
2007,April,1,TEXAS,HGX,3.0,50.0,1,3.0,NW,30.5107,-96.5056,30.5107,-96.5056,0
2007,May,16,TEXAS,HGX,0.85,45.0,5,0.0,N,30.15,-95.2,30.15,-95.2,0
2007,July,20,NORTH CAROLINA,MHX,0.01,10.0,0,3.0,NE,35.1507,-77.9925,35.1507,-77.9925,0
2007,May,15,TEXAS,HGX,0.3,25.0,0,2.0,W,30.7,-94.9636,30.7,-94.9636,0
2007,April,7,SOUTH CAROLINA,CAE,19.04,300.0,21,4.0,NNW,33.7876,-80.4987,33.98,-80.25,0
2007,February,13,ARKANSAS,SHV,26.0,250.0,17,0.0,N,33.02,-92.73,33.2067,-92.3168,0
2007,February,20,MISSOURI,EAX,12.87,100.0,10,3.0,ESE,38.3334,-94.5289,38.4,-94.4053,0
2007,May,17,TEXAS,AMA,2.0,50.0,10,27.0,E,36.12,-100.37,36.14,-100.36,0
2007,May,18,TEXAS,AMA,2.0,50.0,6,6.0,SW,36.3687,-100.3962,36.3891,-100.3708,0
2007,May,18,OKLAHOMA,AMA,0.1,50.0,0,5.0,NNW,36.8668,-101.9346,36.8668,-101.9346,0
2007,May,18,OKLAHOMA,AMA,0.1,75.0,0,5.0,ENE,36.8277,-101.8166,36.8277,-101.8166,0
2007,May,19,OKLAHOMA,AMA,0.1,75.0,1,5.0,WNW,36.7077,-101.5633,36.7077,-101.5633,0
2007,May,20,TEXAS,AMA,3.0,880.0,7,25.0,ESE,36.05,-100.42,36.07,-100.41,0
2007,May,21,TEXAS,AMA,7.0,440.0,10,19.0,S,36.1753,-100.53,36.23,-100.4851,0
2007,September,17,TEXAS,EWX,0.2,10.0,2,7.0,E,29.5,-97.3537,29.5,-97.3504,0
2007,September,18,SOUTH CAROLINA,GSP,0.1,25.0,0,2.0,ENE,34.5311,-82.1476,34.5311,-82.1476,0
2007,September,17,FLORIDA,TBW,4.4,50.0,25,4.0,S,26.55,-81.98,26.61,-81.99,1
2007,May,15,TEXAS,AMA,0.2,25.0,0,21.0,NW,35.9147,-100.8947,35.9147,-100.8947,0
2007,May,16,TEXAS,AMA,1.0,50.0,2,18.0,SSE,36.1596,-100.6765,36.1596,-100.6765,0
2007,May,16,TEXAS,AMA,1.0,50.0,1,16.0,SW,36.0664,-100.4726,36.0767,-100.4599,0
2007,May,17,TEXAS,AMA,2.0,50.0,1,29.0,E,36.11,-100.34,36.13,-100.33,0
2007,June,20,NEBRASKA,LBF,0.1,20.0,0,10.0,NE,41.5322,-100.0635,41.5322,-100.0635,0
2007,September,17,ILLINOIS,ILX,0.1,10.0,0,1.0,W,39.95,-89.5689,39.95,-89.5689,0
2007,September,18,TEXAS,CRP,0.13,25.0,1,11.0,WNW,28.0733,-97.2181,28.0715,-97.2181,0
2007,June,19,NEBRASKA,LBF,0.1,20.0,0,8.0,NW,42.7118,-101.0412,42.7118,-101.0412,0
2007,August,11,TEXAS,CRP,0.12,25.0,1,4.0,ENE,27.7433,-97.96,27.7433,-97.962,0
2007,February,15,FLORIDA,TAE,0.25,50.0,1,2.0,N,30.4089,-84.8,30.4125,-84.8,0
2007,January,0,MISSISSIPPI,JAN,3.3,300.0,4,1.0,S,32.5355,-89.27,32.5756,-89.2397,1
2007,January,2,MISSISSIPPI,JAN,3.7,300.0,4,5.0,WNW,32.9977,-88.6596,33.0109,-88.6288,0
2007,August,18,IOWA,DMX,13.0,50.0,20,14.0,W,41.92,-94.622,41.92,-94.3694,0
2007,August,18,IOWA,DMX,0.72,50.0,1,4.0,W,41.85,-94.65,41.85,-94.636,0
2007,January,1,MISSISSIPPI,JAN,3.0,400.0,3,3.0,NNE,32.6241,-89.2283,32.6496,-89.1957,1
2007,August,17,IOWA,DMX,0.1,30.0,0,3.0,N,41.94,-94.82,41.94,-94.82,0
2007,August,18,IOWA,DMX,3.19,35.0,5,3.0,N,41.92,-94.68,41.916,-94.6182,0
2007,August,18,IOWA,DMX,4.16,40.0,5,5.0,W,41.88,-94.27,41.91,-94.2,0
2007,August,14,MISSOURI,EAX,0.1,25.0,1,2.0,S,39.3411,-93.5,39.3411,-93.5,0
2007,November,19,TENNESSEE,MRX,1.96,200.0,7,0.0,W,35.0502,-85.6855,35.0399,-85.6532,1
2007,December,8,FLORIDA,MFL,0.44,20.0,1,1.0,WNW,26.2388,-81.8208,26.2394,-81.8137,0
2007,October,15,MISSOURI,EAX,0.1,25.0,1,1.0,W,38.75,-93.86,38.75,-93.86,0
2007,April,19,TEXAS,AMA,7.97,700.0,14,19.0,ESE,36.0693,-101.7447,36.1706,-101.6859,0
2007,December,17,TEXAS,LUB,1.64,75.0,5,3.0,E,33.6518,-101.8934,33.6741,-101.8834,0
2007,December,21,GEORGIA,TAE,3.5,125.0,2,1.0,SW,31.6898,-83.682,31.7256,-83.6399,1
2007,December,17,TEXAS,LUB,0.79,50.0,4,2.0,ESE,33.416,-101.6167,33.4178,-101.6031,0
2007,July,18,KANSAS,EAX,0.1,25.0,1,0.0,N,39.75,-94.88,39.75,-94.88,0
2007,December,17,GEORGIA,TAE,3.83,75.0,5,5.0,W,31.38,-85.0348,31.4312,-85.01,0
2007,December,22,GEORGIA,FFC,0.5,25.0,1,5.0,ENE,32.1577,-82.921,32.1605,-82.9131,0
2007,December,21,GEORGIA,FFC,0.5,100.0,1,2.0,W,31.87,-83.4641,31.8783,-83.4536,0
2007,December,5,FLORIDA,TBW,3.2,100.0,7,6.0,NNW,28.3129,-82.509,28.3328,-82.47,1
2007,December,22,GEORGIA,FFC,3.5,200.0,6,1.0,SW,32.3398,-82.6621,32.3756,-82.6197,1
2007,September,17,MINNESOTA,MPX,0.4,50.0,1,0.0,ENE,44.9,-92.95,44.9,-92.95,1
2007,January,1,MISSISSIPPI,JAN,1.4,150.0,2,2.0,S,32.7211,-89.03,32.7347,-89.0118,1
2007,April,21,KENTUCKY,JKL,0.32,50.0,4,1.0,S,36.8118,-83.319,36.8108,-83.3132,0
2007,April,20,TEXAS,AMA,12.38,440.0,33,2.0,SW,35.1847,-101.1188,35.35,-101.2028,0
2007,January,0,MISSISSIPPI,JAN,1.2,100.0,2,2.0,SW,31.7296,-89.294,31.7366,-89.2765,0
2007,January,1,MISSISSIPPI,JAN,2.24,250.0,4,1.0,WSW,32.6145,-88.6959,32.6467,-88.6931,1
2007,October,0,MICHIGAN,DTX,2.0,30.0,2,2.0,SW,43.2647,-83.5511,43.28,-83.5181,1
2007,October,18,INDIANA,LMK,8.15,200.0,11,1.0,ESE,37.9147,-86.7302,37.9559,-86.5932,0
2007,April,21,KENTUCKY,JKL,1.18,50.0,4,2.0,NE,36.7966,-83.2052,36.79,-83.225,1
2007,March,13,TEXAS,EWX,0.5,40.0,3,0.0,N,29.35,-99.18,29.35,-99.18,0
2007,April,11,TEXAS,LUB,0.2,50.0,3,15.0,SSW,34.3497,-102.4206,34.347,-102.422,0
2007,February,22,MISSOURI,EAX,5.09,50.0,8,6.0,SSW,38.6699,-94.1225,38.7355,-94.08,0
2007,March,13,TEXAS,EWX,3.0,30.0,9,2.0,E,29.35,-99.1168,29.35,-99.0671,0
2007,November,17,TENNESSEE,HUN,5.34,75.0,5,2.0,NNW,35.0413,-86.4761,35.0491,-86.3822,0
2007,February,22,MISSOURI,EAX,1.14,50.0,1,1.0,E,38.67,-94.1515,38.6811,-94.1358,0
2007,March,13,TEXAS,EWX,0.5,30.0,3,4.0,NW,29.1909,-98.9668,29.1858,-98.961,0
2007,March,5,FLORIDA,JAX,1.19,100.0,5,3.0,SSE,30.5322,-81.8018,30.5261,-81.7989,0
2007,March,20,GEORGIA,CAE,9.0,250.0,8,5.0,SW,33.4199,-82.56,33.5,-82.4501,0
2007,March,2,SOUTH CAROLINA,CAE,4.88,80.0,10,0.0,N,33.65,-81.68,33.7235,-81.6983,0
2007,February,21,KANSAS,DDC,2.5,50.0,10,9.0,W,37.38,-100.3546,37.4567,-100.2965,0
2007,January,11,GEORGIA,FFC,1.68,200.0,2,2.0,SSW,33.2733,-84.5632,33.2933,-84.5467,0
2007,March,8,NORTH CAROLINA,MHX,0.1,10.0,1,0.0,N,34.75,-76.53,34.75,-76.53,0
2007,July,19,MONTANA,MSO,8.0,50.0,50,8.0,SSW,47.9632,-114.1362,48.07,-114.07,0
2007,March,4,FLORIDA,JAX,0.1,100.0,0,4.0,N,30.29,-82.82,30.29,-82.82,0
2007,March,10,ILLINOIS,PAH,1.8,150.0,2,2.0,WSW,37.4389,-89.3036,37.4602,-89.2829,1
2007,March,14,KENTUCKY,PAH,0.2,30.0,1,1.0,NW,36.8251,-87.1564,36.8267,-87.1535,0
2007,January,20,ALABAMA,BMX,2.69,200.0,5,3.0,S,31.7585,-85.17,31.7802,-85.1467,1
2007,April,18,MICHIGAN,IWX,1.24,50.0,3,1.0,WSW,41.9452,-86.3961,41.9577,-86.379,0
2007,January,16,ALABAMA,BMX,1.0,50.0,2,2.0,S,32.676,-85.8,32.6827,-85.78,1
2007,April,15,INDIANA,IWX,0.5,100.0,3,2.0,E,41.6789,-86.693,41.6833,-86.6853,0
2007,April,15,INDIANA,IWX,0.31,450.0,3,3.0,ENE,41.7006,-86.6795,41.7047,-86.677,0
2007,January,10,GEORGIA,FFC,5.39,200.0,3,5.0,SSW,33.3632,-84.9031,33.4189,-84.838,1
2007,July,18,MONTANA,MSO,1.0,50.0,50,10.0,WNW,47.6553,-114.3182,47.9643,-114.0405,0
2007,May,22,OKLAHOMA,OUN,1.75,150.0,7,3.0,SSE,35.4966,-97.953,35.5155,-97.97,1
2007,January,18,GEORGIA,FFC,4.11,200.0,6,8.0,SW,33.2857,-84.9009,33.3032,-84.8331,1
2007,March,23,IOWA,DMX,1.4,35.0,2,1.0,SW,40.6249,-93.3067,40.63,-93.281,1
